Bao cao Phan tich Phan hoi - 2025-06-20T17:11:23.324716700

Phan hoi Tieu cuc (Diem < 3):
Ma: 7407, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 1986, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 5119, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 2374, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 4950, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 2841, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 4636, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9350, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 2683, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 8978, Ten: Binh, Diem: 2, Binh luan: Trai nghiem kem
Ma: 8751, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 3391, Ten: Cuong, Diem: 2, Binh luan: Hai long
Ma: 5824, Ten: Em, Diem: 2, Binh luan: Trai nghiem kem
Ma: 7422, Ten: Em, Diem: 1, Binh luan: Khong co binh luan
Ma: 9143, Ten: Duy, Diem: 1, Binh luan: Can cai thien
Ma: 6691, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 5844, Ten: Duy, Diem: 1, Binh luan: Hai long
Ma: 4854, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 7448, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 4666, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 8072, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 2934, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 8846, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 3285, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 8417, Ten: Binh, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 6763, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 10552, Ten: Duy, Diem: 1, Binh luan: Can cai thien
Ma: 2142, Ten: Binh, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 2354, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 10289, Ten: Binh, Diem: 2, Binh luan: Hai long
Ma: 6230, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 4428, Ten: Duy, Diem: 2, Binh luan: Can cai thien
Ma: 5202, Ten: Em, Diem: 1, Binh luan: Can cai thien
Ma: 8662, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 5357, Ten: Em, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 10590, Ten: Em, Diem: 2, Binh luan: Khong co binh luan
Ma: 3820, Ten: An, Diem: 2, Binh luan: Can cai thien
Ma: 8619, Ten: An, Diem: 2, Binh luan: Can cai thien
Ma: 2703, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 4193, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 3695, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 10079, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 10484, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 2406, Ten: Duy, Diem: 2, Binh luan: Can cai thien
Ma: 9910, Ten: Em, Diem: 2, Binh luan: Hai long
Ma: 5083, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 3911, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 5600, Ten: An, Diem: 2, Binh luan: Khong co binh luan
Ma: 4242, Ten: Duy, Diem: 2, Binh luan: Khong co binh luan
Ma: 7665, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 4013, Ten: Cuong, Diem: 1, Binh luan: Hai long
Ma: 5351, Ten: Binh, Diem: 2, Binh luan: Can cai thien
Ma: 4529, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 3077, Ten: Cuong, Diem: 1, Binh luan: Hai long
Ma: 7850, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 8879, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 2133, Ten: Em, Diem: 2, Binh luan: Khong co binh luan
Ma: 5493, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 5316, Ten: Em, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 6980, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2399, Ten: Binh, Diem: 2, Binh luan: Can cai thien
Ma: 5043, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 2082, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 2452, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2843, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 8445, Ten: Cuong, Diem: 2, Binh luan: Can cai thien
Ma: 6374, Ten: Binh, Diem: 1, Binh luan: Khong co binh luan
Ma: 6648, Ten: Binh, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 3813, Ten: Em, Diem: 2, Binh luan: Khong co binh luan
Ma: 8189, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 5462, Ten: Duy, Diem: 2, Binh luan: Khong co binh luan
Ma: 4288, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 10064, Ten: Duy, Diem: 1, Binh luan: Hai long
Ma: 9668, Ten: Em, Diem: 1, Binh luan: Hai long
Ma: 10671, Ten: Cuong, Diem: 2, Binh luan: Hai long
Ma: 6098, Ten: Em, Diem: 2, Binh luan: Trai nghiem kem
Ma: 10289, Ten: An, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 3087, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 3112, Ten: Em, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 2359, Ten: Duy, Diem: 2, Binh luan: Can cai thien
Ma: 9068, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 9883, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 7797, Ten: Duy, Diem: 2, Binh luan: Can cai thien
Ma: 2080, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 1945, Ten: Em, Diem: 2, Binh luan: Trai nghiem kem
Ma: 8119, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7699, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 7185, Ten: Em, Diem: 2, Binh luan: Hai long
Ma: 8013, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 5150, Ten: Duy, Diem: 1, Binh luan: Can cai thien
Ma: 6192, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 9961, Ten: Binh, Diem: 1, Binh luan: Khong co binh luan
Ma: 4500, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 6242, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 5040, Ten: An, Diem: 2, Binh luan: Khong co binh luan
Ma: 6805, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2853, Ten: Binh, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2650, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 4470, Ten: An, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2977, Ten: Em, Diem: 2, Binh luan: Khong co binh luan
Ma: 9988, Ten: Binh, Diem: 2, Binh luan: Hai long
Ma: 3457, Ten: Cuong, Diem: 1, Binh luan: Can cai thien
Ma: 3906, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 8683, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 6345, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 7248, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 6184, Ten: Binh, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 1901, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 2318, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 8082, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 10338, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 5690, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 2700, Ten: Binh, Diem: 1, Binh luan: Khong co binh luan
Ma: 6611, Ten: Em, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 1127, Ten: Cuong, Diem: 2, Binh luan: Can cai thien
Ma: 1362, Ten: Duy, Diem: 1, Binh luan: Can cai thien
Ma: 6216, Ten: Em, Diem: 1, Binh luan: Hai long
Ma: 1570, Ten: Em, Diem: 1, Binh luan: Can cai thien
Ma: 2748, Ten: An, Diem: 2, Binh luan: Khong co binh luan
Ma: 7375, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7875, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 10447, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 1186, Ten: Duy, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 10459, Ten: Binh, Diem: 1, Binh luan: Khong co binh luan
Ma: 3569, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 9020, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 2368, Ten: An, Diem: 2, Binh luan: Khong co binh luan
Ma: 5720, Ten: Binh, Diem: 1, Binh luan: Can cai thien
Ma: 1245, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 5767, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 3344, Ten: Cuong, Diem: 1, Binh luan: Hai long
Ma: 10433, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 2069, Ten: Binh, Diem: 2, Binh luan: Hai long
Ma: 1357, Ten: Cuong, Diem: 2, Binh luan: Can cai thien
Ma: 9435, Ten: Cuong, Diem: 2, Binh luan: Hai long
Ma: 2664, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 2869, Ten: Cuong, Diem: 2, Binh luan: Trai nghiem kem
Ma: 6972, Ten: Duy, Diem: 2, Binh luan: Trai nghiem kem
Ma: 10213, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 10609, Ten: An, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 5259, Ten: Cuong, Diem: 1, Binh luan: Hai long
Ma: 5336, Ten: Em, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 4879, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 8489, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 2994, Ten: Em, Diem: 1, Binh luan: Hai long
Ma: 8780, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 6777, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 6555, Ten: Em, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9986, Ten: Binh, Diem: 2, Binh luan: Hai long
Ma: 1619, Ten: Binh, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 3040, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 10574, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 10495, Ten: Duy, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7942, Ten: Cuong, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 6122, Ten: An, Diem: 2, Binh luan: Can cai thien
Ma: 8163, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 9374, Ten: Cuong, Diem: 2, Binh luan: Can cai thien
Ma: 10762, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 1894, Ten: Binh, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 6909, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 9614, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 5786, Ten: Em, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 7783, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 5723, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 2356, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 2629, Ten: An, Diem: 2, Binh luan: Khong co binh luan
Ma: 6447, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 7635, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 7629, Ten: An, Diem: 1, Binh luan: Trai nghiem kem
Ma: 1094, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 2145, Ten: Binh, Diem: 2, Binh luan: Trai nghiem kem
Ma: 2919, Ten: Duy, Diem: 1, Binh luan: Can cai thien
Ma: 7580, Ten: Em, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 5103, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 5265, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 6706, Ten: Cuong, Diem: 2, Binh luan: Khong co binh luan
Ma: 7632, Ten: Cuong, Diem: 2, Binh luan: Hai long
Ma: 9020, Ten: Cuong, Diem: 1, Binh luan: Trai nghiem kem
Ma: 10335, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 8308, Ten: Duy, Diem: 1, Binh luan: Hai long
Ma: 5600, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 7819, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 10316, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
Ma: 1661, Ten: Em, Diem: 2, Binh luan: Hai long
Ma: 7331, Ten: Duy, Diem: 1, Binh luan: Hai long
Ma: 2963, Ten: Duy, Diem: 2, Binh luan: Can cai thien
Ma: 1988, Ten: Duy, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 1966, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 2927, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 7183, Ten: An, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 8892, Ten: An, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 2013, Ten: Em, Diem: 1, Binh luan: Hai long
Ma: 7779, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 5379, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 1894, Ten: Cuong, Diem: 1, Binh luan: Khong co binh luan
Ma: 4840, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 8624, Ten: Cuong, Diem: 1, Binh luan: Hai long
Ma: 7247, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 4719, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
Ma: 9407, Ten: Em, Diem: 2, Binh luan: Can cai thien
Ma: 3307, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 1203, Ten: Cuong, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 3376, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 8726, Ten: Binh, Diem: 1, Binh luan: Hai long
Ma: 9064, Ten: Duy, Diem: 2, Binh luan: Hai long
Ma: 8550, Ten: Binh, Diem: 2, Binh luan: Can cai thien
Ma: 1774, Ten: Binh, Diem: 2, Binh luan: Can cai thien
Ma: 4047, Ten: Duy, Diem: 1, Binh luan: Hai long
Ma: 1090, Ten: An, Diem: 2, Binh luan: Hai long
Ma: 10766, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 8896, Ten: Em, Diem: 1, Binh luan: Hai long
Ma: 1386, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 8218, Ten: An, Diem: 1, Binh luan: Hai long
Ma: 10077, Ten: An, Diem: 1, Binh luan: Khong co binh luan
Ma: 8238, Ten: An, Diem: 1, Binh luan: Dich vu tuyet voi
Ma: 4869, Ten: Binh, Diem: 2, Binh luan: Khong co binh luan
Ma: 10310, Ten: An, Diem: 2, Binh luan: Dich vu tuyet voi
Ma: 8449, Ten: An, Diem: 2, Binh luan: Khong co binh luan
Ma: 9153, Ten: An, Diem: 1, Binh luan: Can cai thien
Ma: 3751, Ten: Em, Diem: 1, Binh luan: Can cai thien
Ma: 5579, Ten: Duy, Diem: 1, Binh luan: Khong co binh luan
Ma: 10439, Ten: Binh, Diem: 1, Binh luan: Trai nghiem kem
